Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
CRTAM	6.81259709664476	8.88859018610688e-08	1.04123485037252e-06	0.00577900618275971	0.00430883984825786	0.18040190621825	0.217335573891924	-0.0286718048372987	0.00673243310086667	2.4122071657422e-05	0.000168854501601954	-0.0977855779978292	0.0267756926851577	0.000284675181705771	0.000996363135970197	-0.139017971325437	0.0994920723258887	0.162885667950032	0.217335573891924	-0.0544527499432444	0.0411501510831543	0.186287634764506	0.217335573891924	0.0286012471908446	0.118747602364262	0.809754055427773	0.809754055427773	-0.0140372740274017	0.00960799070096211	0.144578301768378	0.217335573891924
MCP4	5.72833265200983	2.04640635448339e-06	1.39837767556365e-05	0.0149639062967718	0.00450848657974643	0.000962147188586074	0.00336751516005126	0.0343006145194306	0.00704437513419542	1.4609540482632e-06	1.02266783378424e-05	0.00455421053731121	0.0280163235083468	0.870927189447674	0.876157683485751	-0.0165579561482355	0.10410195984745	0.873682949153552	0.876157683485751	-0.0655036010785657	0.0430568112175137	0.128743594087074	0.300401719536505	0.0193721879479532	0.124249679841965	0.876157683485751	0.876157683485751	0.00446006563398255	0.0100531694514314	0.657469276801661	0.876157683485751
TRAIL	1.62397517849208	0.125903549514668	0.156425622124285	0.00240536765516531	0.00273619963600721	0.379730499451055	0.740364461978116	0.010156060906077	0.00427522991078035	0.0178591771034846	0.125014239724392	-0.0101649512629375	0.0170031013356394	0.550196417302563	0.740364461978116	-0.0429772638949437	0.063179459360451	0.49663395162374	0.740364461978116	-0.0501668688527726	0.0261311704265111	0.0553915033152952	0.193870261603533	0.00101224805507137	0.0754071067406211	0.989294496643807	0.989294496643807	-0.00290131167748394	0.00610126660181218	0.634598110266956	0.740364461978116
CXCL9	10.2780223294369	3.79341003053923e-12	7.77649056260543e-11	0.0270872964500105	0.00615304190860002	1.28413934513166e-05	8.9889754159216e-05	-0.0336884422168199	0.00961394353824207	0.000494876941180569	0.00115471286275466	-0.158734663121486	0.0382358047700897	3.82017080379844e-05	0.000133705978132945	-0.316779654327997	0.14207510888161	0.0261669427674576	0.0457921498430508	-0.0292431213662807	0.0587625934303971	0.618927803476571	0.722082437389333	0.0422097507995454	0.169572088920523	0.803514865387691	0.803514865387691	-0.0196915633181457	0.0137202522076474	0.151785037326315	0.21249905225684
CAIX	3.72106044054139	0.000600661599269969	0.00169842245310819	-0.00185343538149658	0.00450422995314542	0.680872932856166	0.680872932856166	-0.0271495019411829	0.00703772428272824	0.000127809788128246	0.000894668516897724	-0.0524338958879973	0.0279898722755886	0.0615471691925438	0.215415092173903	0.0810034983122793	0.104003673390639	0.436396898344645	0.610955657682503	0.0448321928235956	0.0430161597117941	0.297762199424293	0.521083848992513	0.0604869634810821	0.124132371187935	0.626252761126465	0.680872932856166	0.01057700778958	0.0100436778875209	0.292750479659565	0.521083848992513
ADA	2.65155176819672	0.010525364883841	0.0187626069668471	-0.003530434798086	0.00276791791386946	0.202668752435577	0.35467031676226	-0.0118606931381769	0.00432478876915115	0.00629333420496286	0.04405333943474	-0.0354384442700654	0.0172002028503047	0.0398281024026703	0.139398358409346	0.0383983039323082	0.0639118414647428	0.548216432747348	0.725159813151599	-0.0100819799277175	0.0264340853576976	0.703051087982915	0.725159813151599	0.0268317950722027	0.0762812328580697	0.725159813151599	0.725159813151599	-0.0099280724072546	0.00617199304546829	0.1082763710966	0.252644865892066
Gal9	4.86358065562718	2.43614667759795e-05	0.000110980015312796	0.00837903006596498	0.00231756565705487	0.000326982172386276	0.00228887520670394	-0.00224741576767744	0.00362112686766405	0.535089995650152	0.660408401850389	-0.0401392859693536	0.0144016552010088	0.00549882662541509	0.0192458931889528	-0.0858711429834975	0.0535131074934071	0.109131148531754	0.190979509930569	0.0127088358784405	0.022133144951186	0.56606434444319	0.660408401850389	-0.00217063692145187	0.0638699452262751	0.972901055063072	0.972901055063072	-0.0130049456857833	0.00516778299171535	0.0121305805799088	0.0283046880197872
VEGFR2	5.09940308338652	1.2437062258952e-05	5.99905356020039e-05	-0.0012597476618649	0.00164548376894631	0.444250597414676	0.519756378216469	0.003073521382401	0.00257101906386055	0.232419564459585	0.406734237804274	0.0439636985510658	0.0102252507095466	2.02031882072727e-05	0.000141422317450909	0.0290077495589891	0.0379945869228056	0.445505467042688	0.519756378216469	0.0363851113598766	0.0157146489731791	0.0209548781287674	0.0539283368054743	0.103296464551262	0.04534799602048	0.0231121443452033	0.0539283368054743	-0.00221700365724621	0.00366915302201644	0.5459378912315	0.5459378912315
CD40	2.91659329327137	0.0052730977841885	0.011087026110345	0.00566133725827378	0.00244633385673556	0.0210183112275473	0.0735640892964155	-0.00148917432693624	0.00382232331970202	0.696981551655135	0.935333013283408	-0.0404280717380361	0.0152018375850594	0.00805241038989792	0.0563668727292855	0.00882587416039363	0.0564863939201667	0.875894220274544	0.935333013283408	0.018276244208653	0.0233629030898434	0.434384070129687	0.760172122726953	0.112619452891732	0.0674186765579878	0.0953913517546887	0.22257982076094	0.000442794959385399	0.00545491449548009	0.935333013283408	0.935333013283408
IL18	3.7080197891877	0.000622624502495284	0.00170184030682044	-0.00491224458853683	0.0048039011419467	0.30696224076774	0.429747137074836	-0.0186723009006131	0.00750595153226908	0.0131493095591309	0.0460225834569581	-0.0838612015222591	0.0298520681196006	0.0051401630312563	0.0359811412187941	-0.205991422067543	0.110923147922108	0.063828712829322	0.148933663268418	0.0184629326849678	0.0458780703719053	0.687518170693104	0.687518170693104	0.0688341341887601	0.132391029300324	0.603318213154513	0.687518170693104	-0.014020584708726	0.0107118944137195	0.191113768430427	0.334449094753247
GZMH	2.88170903772478	0.00578013257667453	0.0118492717821828	-0.00390996157450835	0.00772026479796618	0.612737784553614	0.714860748645883	-0.00979086751033309	0.0120626823237114	0.417329479561186	0.696195420198981	-0.131047367428888	0.0479747321687907	0.0065024320325146	0.0455170242276022	-0.044649773628352	0.178262634654389	0.802314658441792	0.802314658441792	0.0500785087052877	0.0737298377350258	0.497282442999272	0.696195420198981	-0.504368270963324	0.212763288184489	0.0180999905765214	0.0633499670178247	-0.0223524995517476	0.0172148965847071	0.194672762790678	0.454236446511581
