Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
MCP1	1.41113830817522	0.198832599920504	0.23629381439828	-0.000825811552484792	0.00361215802144022	0.819272714721047	0.853152223350368	-0.00457777401253204	0.00632261719152805	0.469439202990878	0.821518605234036	-0.0365763609194357	0.0266786177094723	0.171088694155026	0.399206953028394	0.0110508401192745	0.0596668593003671	0.853152223350368	0.853152223350368	-0.011977537658509	0.0456934591454453	0.793347950847467	0.853152223350368	-0.132417318555725	0.0793196751245007	0.095761622452391	0.335165678583369	0.0521644085402803	0.0288411172427631	0.0711971680103006	0.335165678583369
CRTAM	6.55501280492945	2.28126816104179e-07	9.35319946027135e-07	0.0195879073682042	0.00352438232800828	4.79402388847468e-08	3.35581672193228e-07	0.00291299624834968	0.00616897715003567	0.637022421752432	0.637022421752432	-0.065256296467529	0.0260303254267551	0.0125454142252743	0.04390894978846	-0.121894772387048	0.0582169504317878	0.0368613155710458	0.0860097363324402	-0.0245353927103024	0.0445831048813213	0.582378570855195	0.637022421752432	0.126006394788864	0.0773922014521076	0.104223035062676	0.145912249087747	-0.0529681725151974	0.0281402760696169	0.0604700405771412	0.105822571009997
MCP4	2.83042722335783	0.00680207315353687	0.0123948888575561	0.00922440991949583	0.00423371540294414	0.0298877305333442	0.104607056866705	-0.00740057468127997	0.00741057330045014	0.318524233989202	0.445933927584882	-0.0751766735876412	0.0312693060645272	0.0166304333071274	0.104607056866705	-0.0307825450257989	0.069933956312505	0.66003758629216	0.770043850674187	0.0096428602307694	0.053556101546393	0.857196704404014	0.857196704404014	-0.140238293461405	0.0929685047934942	0.132172186346569	0.308401768141993	0.04380457248422	0.0338039148852405	0.195723041779863	0.34251532311476
TRAIL	0.857130019436588	0.540567616128892	0.558072483577868	-0.00384870311388929	0.00196155731785485	0.0503979905501508	0.352785933851056	-0.0007814822484236	0.00343345333909057	0.820058749593618	0.842655265215094	-0.0095204819004176	0.0144876379958045	0.511438306243407	0.842655265215094	0.0173069403806206	0.0324016734039186	0.593521976286944	0.842655265215094	-0.031201352309908	0.0248135155308385	0.209277518764896	0.732471315677138	-0.00855526930734676	0.0430739984980772	0.842655265215094	0.842655265215094	0.0074490275543313	0.0156619683432606	0.634591445990306	0.842655265215094
CXCL9	26.4116657505213	0	0	0.0586912659299655	0.00464959970931292	2.65471253610806e-31	1.85829877527565e-30	0.00329681061687824	0.00813852519223519	0.685614558731546	0.685614558731546	-0.0392092266719614	0.0343409375809574	0.254186299473351	0.685614558731546	-0.0404380446286299	0.0768036752578137	0.598803468961411	0.685614558731546	0.0254926872258884	0.0588169988962594	0.664923752496804	0.685614558731546	-0.0706902318770418	0.10210094248718	0.489086437090347	0.685614558731546	-0.0218488760164694	0.0371245248829794	0.556485260492224	0.685614558731546
CAIX	1.78138720233254	0.0892139223150763	0.123992231014174	0.0044592094514262	0.00377855399177975	0.238596857317041	0.544806699034567	-0.0132789171408161	0.00661387189755838	0.0452948593166617	0.317064015216632	-0.00870708620245254	0.0279075823490965	0.755193564565122	0.755193564565122	0.0833897482709394	0.0624154447419414	0.182240047507022	0.544806699034567	0.0299133789006819	0.0477983525159862	0.531761331830404	0.744465864562565	0.0376028715712717	0.0829735779247151	0.650639340931656	0.755193564565122	0.0305815383975741	0.0301696985675004	0.311318113734038	0.544806699034567
ADA	1.47250243167948	0.175106279984137	0.211157572922048	-0.00752938780620247	0.00399752633993224	0.0603040713074508	0.420347190761996	0.00908555139036771	0.0069971547785067	0.194822371798139	0.420347190761996	0.00259630504189057	0.0295248647411267	0.929968209876663	0.929968209876663	-0.0776617756077849	0.0660325047405171	0.240198394721141	0.420347190761996	0.0653364012139718	0.0505683321195637	0.197034998794277	0.420347190761996	-0.0276804696845743	0.0877820097301928	0.752662271614908	0.878105983550727	0.0137980011418222	0.0319180736741551	0.66574373597915	0.878105983550727
Gal9	5.84669770200917	1.6956227117948e-06	5.79337759863222e-06	0.00902297023284928	0.00238927150939541	0.000181406870859827	0.00126984809601879	0.0127069221765275	0.00418211192059322	0.0025230382045834	0.00883063371604192	-0.0313189055420188	0.017646642484893	0.0766399987514142	0.1788266637533	-0.0349507281491509	0.0394668024309276	0.376341558621895	0.432041894960158	0.0237694118280842	0.0302240598151922	0.432041894960158	0.432041894960158	0.0556384063717403	0.0524662096133619	0.289528496463868	0.405339895049415	0.022854692924117	0.0190770335401305	0.231567100058277	0.405242425101984
VEGFR2	7.93444048056171	4.5641667112406e-09	2.07923150178739e-08	-0.0111359918383684	0.0016148773548621	1.91458944922942e-11	1.34021261446059e-10	-0.000387381377725538	0.00282663473343546	0.891057760988673	0.891057760988673	-0.00770451458411342	0.0119271347882151	0.518645637212266	0.605086576747644	0.0225461785994703	0.0266750954271618	0.398460017098007	0.55784402393721	0.0275202666477983	0.0204280466140502	0.178629936460016	0.312602388805028	-0.0533177106570833	0.0354612246732502	0.133429743673022	0.312602388805028	0.0183726581750854	0.0128939173889438	0.154907230777629	0.312602388805028
CD40	2.34565164505385	0.0232864257935563	0.0360280550013513	0.00430320468334576	0.0027911664540682	0.123874852349933	0.289041322149843	-0.00548837353679246	0.00488557723725266	0.261900282085487	0.458325493649602	-0.0519302078244907	0.0206149516022277	0.0121278240553918	0.0848947683877424	-0.0365589375420738	0.0461054403241166	0.428247919069975	0.599547086697966	0.00327299407379829	0.0353079930557	0.926186249207875	0.926186249207875	0.0274598304497156	0.0612914537628175	0.654363486810901	0.763424067946051	0.0355065994463458	0.0222859460931755	0.111842057084298	0.289041322149843
IL18	1.19590830043726	0.30364988957185	0.336476904660699	-0.00282808340720557	0.00361750109833676	0.434774195063734	0.684662130111066	0.00884343695600563	0.00633196955918229	0.163242756219708	0.571349646768979	-0.0302246789513913	0.0267180805195346	0.258581288435505	0.603356339682845	-0.004892736321732	0.0597551180685396	0.934780318406676	0.934780318406676	0.068567394416326	0.0457610485655188	0.134766840273623	0.571349646768979	-0.0550040380436014	0.0794370041895868	0.489044378650762	0.684662130111066	0.00712258958494218	0.028883778805822	0.805339236429546	0.934780318406676
GZMH	1.56029093361439	0.145375839024283	0.189219346031606	0.00799295589239137	0.00690426244157798	0.247634054858537	0.535147982697964	0.0106331467184653	0.0120850217927446	0.37942459809807	0.535147982697964	-0.0958851496172851	0.0509933887585807	0.0607352370164278	0.425146659114994	-0.0997517926876077	0.114046963955965	0.382248559069974	0.535147982697964	0.0464129961147547	0.0873382703445208	0.595403969915057	0.595403969915057	-0.0977112940609219	0.151611266890783	0.519603378571342	0.595403969915057	0.0768149095965527	0.0551267805479234	0.164210133775901	0.535147982697964
CXCL1	1.11211475032003	0.35423733910764	0.377239763725019	-0.00122058213506594	0.00398315202823723	0.759420495643955	0.947845437269633	-0.0124049017608265	0.00697199439800845	0.0759038693556365	0.265663542744728	-0.056990172923458	0.0294186991846168	0.053372847063874	0.265663542744728	0.00430633864829514	0.0657950649529011	0.947845437269633	0.947845437269633	0.00334572812676494	0.0503864984289329	0.947089138729411	0.947845437269633	0.0241982791007947	0.0874663630372687	0.782175260465573	0.947845437269633	0.0296941843784503	0.0318033026130833	0.350990510250549	0.818977857251281
TNFSF14	2.51936303134222	0.0150808058067642	0.0257630432532222	-0.0182452790242249	0.00567097678539696	0.00139160153987489	0.00974121077912423	-0.0043536393438136	0.00992631415992459	0.661174231019301	0.74136589356979	-0.0779993031095515	0.0418846077051122	0.0632491667686371	0.22137208369023	0.0309369117988508	0.0936751304736705	0.74136589356979	0.74136589356979	0.0919290194097303	0.0717373228192788	0.200718635121106	0.427132541187332	-0.0711268039553265	0.124529445718137	0.568185808457607	0.74136589356979	0.0528166709589379	0.0452796653351862	0.244075737821333	0.427132541187332
TWEAK	6.51766935339851	2.53605373146115e-07	9.90268599903878e-07	-0.00806111135918797	0.00201829118037627	7.63728711018332e-05	0.000534610097712833	-0.012871361693063	0.0035327586553006	0.000301807139627551	0.00105632498869643	-0.00359537999437823	0.0149066620308569	0.80952036719182	0.83201036730212	0.0198276658874703	0.0333388227125975	0.552334688048155	0.83201036730212	-0.0114933191076159	0.0255311935543078	0.652815852721919	0.83201036730212	-0.1107111934039	0.0443198220520431	0.0128610703475442	0.0300091641442699	0.00342044050045367	0.0161149573794276	0.83201036730212	0.83201036730212
