analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
MCP1	-0.00293082930787275	0.0037203114320333	0.0103714521719394	-0.0167866238612193	-0.00639441583010138	0.00399779220101657	-0.0804582435281597	-0.0391271876687823	0.00220386819059516	-0.0288786300204058	0.124697691877924	0.278274013776253	-0.0339759492320203	0.0295435724863643	0.093063094204749	-0.21692330976752	-0.0336240822108404	0.149675145345839	-0.012695710429921	0.00213521869027949	0.0169661478104799
CRTAM	-0.00268452238259009	0.00577900618275971	0.0142425347481095	-0.0418958145174286	-0.0286718048372987	-0.0154477951571687	-0.150379048137938	-0.0977855779978292	-0.0451921078577207	-0.334442732005847	-0.139017971325437	0.0564067893549731	-0.135280882671721	-0.0544527499432444	0.0263753827852322	-0.204645696318341	0.0286012471908446	0.26184819070003	-0.0329095242425231	-0.0140372740274017	0.00483497618771962
MCP4	0.00610822674079853	0.0149639062967718	0.0238195858527451	0.0204638806715926	0.0343006145194306	0.0481373483672686	-0.0504761369945992	0.00455421053731121	0.0595845580692216	-0.221037570593413	-0.0165579561482355	0.187921658296942	-0.15007684225383	-0.0655036010785657	0.0190696400966984	-0.224682070648642	0.0193721879479532	0.263426446544548	-0.0152866155658056	0.00446006563398255	0.0242067468337707
TRAIL	-0.00296914255997063	0.00240536765516531	0.00777987787030126	0.00175854980156079	0.010156060906077	0.0185535720105932	-0.0435628585701457	-0.0101649512629375	0.0232329560442706	-0.16707590247784	-0.0429772638949437	0.0811213746879524	-0.101494352616232	-0.0501668688527726	0.00116061491068627	-0.147104234433287	0.00101224805507137	0.14912873054343	-0.0148855686904547	-0.00290131167748394	0.0090829453354868
CXCL9	0.0150013411137299	0.0270872964500105	0.0391732517862911	-0.0525723851404518	-0.0336884422168199	-0.0148044992931881	-0.233838365576714	-0.158734663121486	-0.0836309606662568	-0.595847056410918	-0.316779654327997	-0.0377122522450753	-0.14466604391312	-0.0292431213662807	0.0861798011805585	-0.290867891676572	0.0422097507995454	0.375287393275663	-0.0466412181144774	-0.0196915633181457	0.00725809147818592
CAIX	-0.0107007539674412	-0.00185343538149658	0.00699388320444801	-0.04097317202398	-0.0271495019411829	-0.0133258318583858	-0.107412287261888	-0.0524338958879973	0.00254449548589334	-0.123283059471685	0.0810034983122793	0.285290056096244	-0.0396611996703533	0.0448321928235956	0.129325585317544	-0.183336874589499	0.0604869634810821	0.304310801551663	-0.00915102984834103	0.01057700778958	0.0303050454275009
ADA	-0.00896724682999505	-0.003530434798086	0.00190637723382306	-0.0203555489638382	-0.0118606931381769	-0.00336583731251563	-0.0692235031907916	-0.0354384442700654	-0.00165338534933918	-0.0871388974839063	0.0383983039323082	0.163935505348523	-0.0620044566041771	-0.0100819799277175	0.0418404967487421	-0.12300166730524	0.0268317950722027	0.176665257449646	-0.022051252029858	-0.0099280724072546	0.00219510721534877
Gal9	0.00382681094635947	0.00837903006596498	0.0129312491855705	-0.00936012168447349	-0.00224741576767744	0.0048652901491186	-0.0684273691830609	-0.0401392859693536	-0.0118512027556463	-0.190982896922137	-0.0858711429834975	0.0192406109551419	-0.0307656285092597	0.0127088358784405	0.0561833002661408	-0.127625544721858	-0.00217063692145187	0.123284270878954	-0.023155631371536	-0.0130049456857833	-0.00285426000003069
VEGFR2	-0.00449184710689934	-0.0012597476618649	0.00197235178316953	-0.00197653711486261	0.003073521382401	0.00812357987966461	0.0238790111373293	0.0439636985510658	0.0640483859648023	-0.0456221469037087	0.0290077495589891	0.103637646021687	0.00551801368096871	0.0363851113598766	0.0672522090387845	0.0142228221749087	0.103296464551262	0.192370106927615	-0.00942404372048534	-0.00221700365724621	0.00499003640599293
CD40	0.00085618849294313	0.00566133725827378	0.0104664860236044	-0.00899707523334391	-0.00148917432693624	0.00601872657947143	-0.0702878927520333	-0.0404280717380361	-0.010568250724039	-0.102126081663684	0.00882587416039363	0.119777829984471	-0.0276137411780944	0.018276244208653	0.0641662295954004	-0.0198059597439483	0.112619452891732	0.245044865527412	-0.0102718814453788	0.000442794959385399	0.0111574713641496
