analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
MCP1	0.00212853650976598	0.0130708010113086	0.0240130655128513	-0.0196289591707028	-0.00412822120446831	0.0113725167617662	-0.0897002552834474	-0.0133791854875077	0.0629418843084319	-0.195750684727893	-0.027256973732452	0.141236737262989	-0.123971713427384	-0.0097231482346336	0.104525416958117	0.0102768919307562	0.19568026153921	0.381083631147664	-0.161651209781314	-0.0831376774920892	-0.00462414520286392
CRTAM	0.00609100008601089	0.0147418934625401	0.0233927868390694	-0.0205975471595346	-0.00834275004834167	0.00391204706285125	-0.0877696958051594	-0.0274306830629397	0.0329083296792801	-0.172060633949494	-0.0388504443921322	0.0943597451652301	-0.20427888113415	-0.113954601752621	-0.0236303223710907	-0.0742606350756174	0.0723182364098835	0.218897107895384	-0.09774623204778	-0.0356738706683765	0.026398490711027
MCP4	-6.93415638209384e-05	0.0101823452648626	0.0204340320935461	-0.0063227631177877	0.00819970718266226	0.0227221774831122	-0.0604297942753655	0.011074573569861	0.0825789414150876	-0.146610906642677	0.0112489913230913	0.169108889288859	-0.151194945493112	-0.0441567258615737	0.0628814937699649	-0.369902148301188	-0.196199777832939	-0.0224974073646898	-0.0714743269765161	0.00208413477784876	0.0756425965322136
TRAIL	-0.0085299218011709	-0.00352359412448277	0.00148273355220536	-0.00593481813268972	0.00115711183103124	0.00824904179475219	-0.0378016928724774	-0.00288311783894644	0.0320354571945845	-0.0847960801726006	-0.00770648609584936	0.0693831079809018	-0.0613612790213798	-0.00909003718969691	0.043181204641986	-0.029522879789448	0.0553032565638805	0.140129392917209	-0.0286694252743423	0.0072522497718679	0.0431739248180781
CXCL9	0.0251843838286404	0.0379736249878515	0.0507628661470626	-0.0351416984486676	-0.0170245458274744	0.00109260679371879	-0.0925502405876341	-0.0033467153930416	0.0858568098015509	-0.0976254413075251	0.0993088133366862	0.296243067980898	-0.0593470743516658	0.0741858385237216	0.207718751399109	0.0969167153622621	0.313614859089146	0.53031300281603	-0.0752662270147454	0.0164998327955295	0.108265892605804
CAIX	0.00720786292430123	0.016555490987842	0.0259031190513828	-0.0408622231569263	-0.0276204363952977	-0.0143786496336691	-0.0836442342866232	-0.01844557510932	0.0467530840679831	-0.292354027934696	-0.148415216986645	-0.00447640603859376	-0.0550213301903647	0.0425775803518238	0.140176490894012	0.192986411922312	0.351370605667828	0.509754799413344	-0.0993314767144979	-0.0322598666569078	0.0348117434006823
ADA	-0.00400713916102053	0.00374559336958788	0.0114983259001963	-0.0188460727147744	-0.00786360418987983	0.00311886433501473	-0.0962085313337303	-0.0421340899331959	0.0119403514673386	-0.133879676948766	-0.0144997557036597	0.104880165541447	-0.1277337546491	-0.046787203976677	0.0341593466957456	-0.0451801135598806	0.0861805142740776	0.217541142108036	-0.0618756153870644	-0.00624778663316832	0.0493800421207278
Gal9	0.00370003002475825	0.00932415741482583	0.0149482848048934	0.00362277988175829	0.0115898807455575	0.0195569816093567	-0.0578451946705841	-0.018617535805448	0.0206101230596881	-0.108518224915532	-0.0219154842369466	0.0646872564416388	-0.0328479988131632	0.0258737113672005	0.0845954215475642	0.0977434414169778	0.193037442862357	0.288331444307736	-0.0708282518990352	-0.0304737066971226	0.00988083850479002
VEGFR2	-0.0105467411272668	-0.00706960847840317	-0.0035924758295395	-0.00891299164519485	-0.00398730902654894	0.000938373592096959	-0.0183974754385875	0.0058551354854357	0.0301077464094589	-0.0616002227290786	-0.00805783362416802	0.0454845554807425	-0.0075237671515236	0.0287810960750541	0.0650859593016318	-0.0366332491296861	0.0222825364998796	0.0811983221294453	-0.0177561465103344	0.0071931650752144	0.0321424766607632
CD40	0.00282134742852233	0.0100424993481147	0.0172636512677071	-0.00467403153838475	0.00555540348433768	0.0157848385070601	-0.0635282504582618	-0.0131615243034887	0.0372052018512843	-0.102009695242545	0.00918471834729607	0.120379131937137	-0.0718120721110411	0.00358422686674308	0.0789805258445272	-0.0552477955563277	0.0671058450596738	0.189459485675675	-0.0455669200683796	0.00624668252954573	0.0580602851274711
IL18	-0.00535288529330284	0.00367585166254529	0.0127045886183934	-0.0110027676619158	0.00178728011100441	0.0145773278839247	-0.149696285606919	-0.086721856202538	-0.0237474267981567	-0.00124227036822258	0.137786117684183	0.276814505736588	-0.0657583108220786	0.0285110465456752	0.122780403913429	-0.0630104727834895	0.0899704988139914	0.242951470411472	-0.117000702905678	-0.0522172176943702	0.0125662675169373
GZMH	-0.00147731363417283	0.0114018075720199	0.0242809287782126	-0.0341974138636187	-0.0159529377751068	0.0022915383134051	-0.104985667501957	-0.0151552390426908	0.0746751894165759	-0.050094867979346	0.148223398416568	0.346541664812482	-0.154562973234789	-0.0200916196549515	0.114379733924886	-0.275687373776395	-0.0574663219194244	0.160754729937546	-0.106782215104137	-0.0143712430848905	0.0780397289343564
CXCL1	-0.0159156130935199	-0.00671211724664687	0.00249137860022615	-0.0176970595061489	-0.00465944946888525	0.00837816056837841	-0.0953699797894349	-0.0311766266862625	0.0330167264169099	-0.124362021112539	0.0173573797621284	0.159076780636796	-0.114314939431229	-0.0182209183888355	0.0778731026535585	-0.145658481022998	0.0102835675307641	0.166225616084526	-0.0166120732362432	0.0494253514892642	0.115462776214772
TNFSF14	-0.00569780618077353	0.00712060430459393	0.0199390147899614	-0.00460099103429611	0.0135574826572603	0.0317159563488168	-0.0990807069493626	-0.00967372897064431	0.079733249008074	-0.0501815884478484	0.147201828068718	0.344585244585285	-0.114532642458525	0.0193048283683293	0.153142299195184	-0.303222792255028	-0.0860304097571996	0.131161972740629	-0.140494779019099	-0.0485194218709003	0.0434559352772983
TWEAK	-0.000590687963653252	0.0040023749036044	0.00859543777086204	-0.00720694155240867	-0.000700439725683003	0.00580606210104266	-0.0281195820273632	0.00391651722975941	0.035952616486882	-0.0559113291623132	0.0148146350318895	0.0855405992260923	-0.133556183563317	-0.0855998540165115	-0.0376435244697064	-0.133604564720147	-0.0557806981619059	0.0220431683963354	-0.0211038409429512	0.011852553931623	0.0448089488061971
PDGFsubunitB	-0.00315208701021667	-0.00133115292310744	0.000489781164001795	-0.0012482810369509	0.00133124188849889	0.00391076481394868	-0.0142006251754164	-0.00149981379067276	0.0112009975940709	-0.0344446147312879	-0.00640508582281793	0.021634443085652	-0.0248509068052217	-0.00583847050983955	0.0131739657855426	-0.0532625929330725	-0.0224090785131506	0.00844443590677128	-0.00430889005662009	0.0087567753935841	0.0218224408437883
PDCD1	0.00321285445054299	0.0129810327827571	0.0227492111149712	-0.0175892752003027	-0.00375173976933649	0.0100857956616298	-0.0607961124556144	0.00733583776063145	0.0754677879768774	-0.243853410300554	-0.0934387848244494	0.0569758406516551	-0.127850838454698	-0.0258609478936497	0.0761289426673984	0.00955066885311101	0.175060575643745	0.340570482434378	-0.115917826369539	-0.0458286611163063	0.0242605041369263
FASLG	-0.00940329665814911	-0.00293275821660442	0.00353778022494027	-0.00946397900497968	-0.000297857964066098	0.00886826307684748	-0.0266629736298536	0.01846830755466	0.0635995887391736	-0.0176228437979437	0.0820132995251151	0.181649442848174	-0.159000422267232	-0.0914413047859471	-0.0238821873046618	-0.162583387583993	-0.0529479798423605	0.056687427899272	-0.0724249291112102	-0.0259971692277536	0.0204305906557029
MCP2	-0.0152087632245504	-0.00615187300357894	0.00290501721739252	-0.0262727363893121	-0.0134428068912234	-0.000612877393134745	-0.0654608637953148	-0.00229006851875427	0.0608807267578063	-0.151225946441218	-0.0117640422627313	0.127697861915756	-0.0996737097933232	-0.00511040320277566	0.0894529033877719	-0.176977372541389	-0.0235193780919558	0.129938616357478	-0.0733050213773627	-0.00831952932460144	0.0566659627281598
