analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
MCP1	-0.00792544789405696	-0.000825811552484792	0.00627382478908738	-0.0170047726433737	-0.00457777401253204	0.00784922461830965	-0.0890127390371241	-0.0365763609194357	0.0158600171982527	-0.106223376612655	0.0110508401192745	0.128325056851204	-0.101787269457507	-0.011977537658509	0.0778321941404892	-0.288318816987698	-0.132417318555725	0.0234841798762485	-0.00452232634033363	0.0521644085402803	0.108851143420894
CRTAM	0.0126607926880037	0.0195879073682042	0.0265150220484046	-0.00921202544360242	0.00291299624834968	0.0150380179403018	-0.116418466916832	-0.065256296467529	-0.0140941260182262	-0.236319217421772	-0.121894772387048	-0.00747032735232338	-0.112162741723497	-0.0245353927103024	0.0630919563028921	-0.0261066862896263	0.126006394788864	0.278119475867355	-0.108277415759785	-0.0529681725151974	0.0023410707293903
MCP4	0.000903112911943664	0.00922440991949583	0.017545706927048	-0.0219659328974698	-0.00740057468127997	0.00716478353490983	-0.136635973096068	-0.0751766735876412	-0.0137173740792146	-0.168236569683396	-0.0307825450257989	0.106671479631798	-0.0956207640610876	0.0096428602307694	0.114906484522626	-0.322966338949943	-0.140238293461405	0.0424897520271332	-0.0226364583849046	0.04380457248422	0.110245603353345
TRAIL	-0.00770411130402337	-0.00384870311388929	6.70507624478444e-06	-0.00752987751757092	-0.0007814822484236	0.00596691302072372	-0.0379956927322917	-0.0095204819004176	0.0189547289314565	-0.0463780082458772	0.0173069403806206	0.0809918890071185	-0.0799719032047623	-0.031201352309908	0.0175691985849463	-0.0932164948956567	-0.00855526930734676	0.0761059562809632	-0.0233343099880366	0.0074490275543313	0.0382323650966992
CXCL9	0.0495525552550544	0.0586912659299655	0.0678299766048766	-0.0126993249006248	0.00329681061687824	0.0192929461343813	-0.106705766692161	-0.0392092266719614	0.0282873133482385	-0.191394387288653	-0.0404380446286299	0.110518298031393	-0.0901111430571506	0.0254926872258884	0.141096517508927	-0.271367931326561	-0.0706902318770418	0.129987467572478	-0.0948165104495032	-0.0218488760164694	0.0511187584165644
CAIX	-0.00296747539442005	0.0044592094514262	0.0118858942972725	-0.0262783720383309	-0.0132789171408161	-0.000279462243301366	-0.0635589738206096	-0.00870708620245254	0.0461448014157045	-0.0392867673009333	0.0833897482709394	0.206066263842812	-0.0640334857092083	0.0299133789006819	0.123860243510572	-0.125480311868666	0.0376028715712717	0.200686055011209	-0.0287165009165258	0.0305815383975741	0.0898795777116741
ADA	-0.0153864591499581	-0.00752938780620247	0.000327683537553128	-0.00466723961662275	0.00908555139036771	0.0228383423973582	-0.0554343241420809	0.00259630504189057	0.0606269342258621	-0.207447562275526	-0.0776617756077849	0.0521240110599564	-0.0340548121044311	0.0653364012139718	0.164727614532375	-0.200214545635169	-0.0276804696845743	0.144853606266021	-0.0489364402821048	0.0137980011418222	0.0765324425657491
Gal9	0.00432689693336964	0.00902297023284928	0.0137190435323289	0.00448705095280752	0.0127069221765275	0.0209267934002475	-0.0660030870060747	-0.0313189055420188	0.00336527592203702	-0.112522070034283	-0.0349507281491509	0.0426206137359812	-0.0356354736116267	0.0237694118280842	0.0831742972677952	-0.0474830535047712	0.0556384063717403	0.158759866248252	-0.0146408983005713	0.022854692924117	0.0603502841488054
VEGFR2	-0.0143100063437443	-0.0111359918383684	-0.00796197733299261	-0.00594308479898592	-0.000387381377725538	0.00516832204353484	-0.0311470990697941	-0.00770451458411342	0.0157380699015672	-0.0298832765310872	0.0225461785994703	0.0749756337300277	-0.0126307182392401	0.0275202666477983	0.0676712515348367	-0.123016156271177	-0.0533177106570833	0.0163807349570102	-0.00697012138672227	0.0183726581750854	0.0437154377368931
CD40	-0.0011827864264171	0.00430320468334576	0.00978919579310863	-0.0150908941068441	-0.00548837353679246	0.00411414703325917	-0.0924485513482804	-0.0519302078244907	-0.011411864300701	-0.127178411476044	-0.0365589375420738	0.0540605363918969	-0.0661242773518516	0.00327299407379829	0.0726702654994481	-0.0930074996004769	0.0274598304497156	0.147927160499908	-0.00829605587778128	0.0355065994463458	0.0793092547704728
IL18	-0.00993822147729718	-0.00282808340720557	0.00428205466288605	-0.00360194359746615	0.00884343695600563	0.0212888175094774	-0.0827386205640309	-0.0302246789513913	0.0222892626612482	-0.122340424190379	-0.004892736321732	0.112554951546915	-0.0213751832604581	0.068567394416326	0.15850997209311	-0.211136144795993	-0.0550040380436014	0.10112806870879	-0.0496479958862835	0.00712258958494218	0.0638931750561678
GZMH	-0.0055772567757783	0.00799295589239137	0.021563168560561	-0.0131197620411165	0.0106331467184653	0.0343860554780471	-0.196111804669876	-0.0958851496172851	0.00434150543530543	-0.323909198078444	-0.0997517926876077	0.124405612703229	-0.125248917474724	0.0464129961147547	0.218074909704234	-0.395700710310333	-0.0977112940609219	0.20027812218849	-0.0315358580744201	0.0768149095965527	0.185165677267525
CXCL1	-0.00904940100894363	-0.00122058213506594	0.00660823673881175	-0.0261082404596142	-0.0124049017608265	0.00129843693796125	-0.114812135476915	-0.056990172923458	0.000831789629998692	-0.125012764077302	0.00430633864829514	0.133625441373892	-0.0956880941056274	0.00334572812676494	0.102379550359157	-0.147715398539738	0.0241982791007947	0.196111956741327	-0.0328146764392822	0.0296941843784503	0.0922030451961829
TNFSF14	-0.0293914893059566	-0.0182452790242249	-0.00709906874249331	-0.0238636442575976	-0.0043536393438136	0.0151563655699704	-0.160322800932923	-0.0779993031095515	0.00432419471381991	-0.153179994677798	0.0309369117988508	0.215053818275499	-0.0490694920373899	0.0919290194097303	0.23292753085685	-0.315887352405478	-0.0711268039553265	0.173633744494825	-0.0361797560079362	0.0528166709589379	0.141813097925812
TWEAK	-0.0120280290098063	-0.00806111135918797	-0.00409419370856959	-0.0198149399048422	-0.012871361693063	-0.00592778348128378	-0.0328941755779693	-0.00359537999437823	0.0257034155892128	-0.045699234073904	0.0198276658874703	0.0853545658488445	-0.0616744541869734	-0.0114933191076159	0.0386878159717415	-0.197821064407616	-0.1107111934039	-0.0236013224001833	-0.0282532394367972	0.00342044050045367	0.0350941204377045
PDGFsubunitB	-0.00451023581323583	-0.00292260885484623	-0.00133498189645664	-0.00253524536744329	0.00024369105816889	0.00302262748378107	-0.0198736301684183	-0.00814776091332951	0.00357810834175932	-0.0238749891240249	0.00234997495158664	0.0285749390271981	-0.0334949983308481	-0.0134116666685034	0.00667166499384119	-0.0744284208020185	-0.0395655898264922	-0.00470275885096592	-0.000231940485550773	0.0124443973083393	0.0251207351022293
PDCD1	0.0104339502607079	0.0177044358678675	0.0249749214750272	-0.00253920950416972	0.0101868387522287	0.0229128870086271	-0.0917593135464029	-0.0380610797137934	0.0156371541188161	-0.14306476289128	-0.0229683996666247	0.0971279635580309	-0.155284347854336	-0.0633133889188687	0.0286575700165985	-0.232822943430025	-0.0731697519211645	0.0864834395876957	-0.122455237344287	-0.0644043639984123	-0.00635349065253719
FASLG	-0.00811881794299048	-0.00291525287133815	0.00228831220031417	-0.0110944457967577	-0.00198627561594533	0.00712189456486698	-0.0457569773493946	-0.0073245714443993	0.031107834460596	-0.0597140380545523	0.0262402261685811	0.112194490391715	-0.1192594282702	-0.0534348196564801	0.0123897889572398	-0.2062878152664	-0.0920223018190974	0.0222432116282057	-0.015898642036176	0.0256489949777866	0.0671966319917492
MCP2	-0.0106246156454226	-0.00259248961305048	0.00543963641932161	-0.0124756757469027	0.00158352593678981	0.0156427276204823	-0.0732908672750146	-0.0139673220314107	0.0453562232121932	-0.193308571380444	-0.0606311716067554	0.0720462281669334	-0.0881520149540875	0.0134536237064623	0.115059262367012	-0.437832279562365	-0.261454163304657	-0.0850760470469477	-0.00609283367486205	0.058039324229993	0.122171482134848
CCL4	-0.00986766263770778	0.000152368354584595	0.010172399346877	-0.0121619877849801	0.00537678539035615	0.0229155585656924	-0.108300899467697	-0.0342951182439156	0.039710662979866	-0.145627908407849	0.0198863841158344	0.185400676639518	-0.170637668278485	-0.0438852188937114	0.0828672304910625	-0.548338854101242	-0.328308169306017	-0.108277484510791	-0.023024237433111	0.0569802604071025	0.136984758247316
Gal1	0.00485282533015235	0.00774287158753329	0.0106329178449142	0.00142590795946579	0.0064845615517974	0.011543215144129	-0.0336736320348589	-0.0123283755965441	0.00901688084177073	-0.0594294731281769	-0.011690702457799	0.036048068212579	-0.0307593906386729	0.00579942262648712	0.0423582358916472	-0.0293358174593231	0.0341269460381705	0.0975897095356641	-0.0165767925759155	0.0064986549685689	0.0295741025130533
PDL1	0.00380510697204518	0.00999970668750321	0.0161943064029612	-0.00396102457571796	0.00688182405468984	0.0177246726850976	-0.0405084534796903	0.00524351990878781	0.0509954932972659	-0.153972197479495	-0.0516476846950407	0.0506768280894132	-0.101365748861349	-0.0230046452383659	0.0553564583846176	-0.118305841459724	0.017721883252205	0.153749607964134	-0.0575614386701424	-0.00810092902325885	0.0413595806236247
CD27	0.0173564595509632	0.0219157783748567	0.0264750971987502	-0.00448761336813933	0.00349288676682234	0.011473386901784	-0.059113200485604	-0.0254390579934221	0.00823508449875986	-0.12144444832066	-0.0461320635478854	0.0291803212248889	-0.0153948491834896	0.0422801050056887	0.0999550591948671	0.0174957939865847	0.117614251084445	0.217732708182305	-0.00540171787979094	0.0310019632345309	0.0674056443488527
HGF	-0.00552650840315042	0.00010057195891138	0.00572765232097318	0.000543671141507546	0.0103931502684191	0.0202426293953307	-0.0926136552003354	-0.0510532569816358	-0.00949285876293613	-0.0549429347135511	0.0380070996543061	0.130957134022163	0.0496823890964076	0.120864426290199	0.192046463483989	-0.0803045987935314	0.0432609217537223	0.166826442300976	-0.0064004039719223	0.0385287722970512	0.0834579485660246
GZMA	-0.00416842137232535	0.00211127996854781	0.00839098130942097	-0.00207288844160359	0.00891891961878566	0.0199107276791749	-0.0746484148357488	-0.0282678992524307	0.0181126163308874	-0.116587200870181	-0.0128569503855106	0.0908733000991596	-0.0906925463450909	-0.0112549151668243	0.0681827160114423	-0.132455650733747	0.00544082757102783	0.143337305875803	-0.0326699907581184	0.0174700090831529	0.0676100089244241
HO1	-0.0019710972377939	0.0027292070333596	0.00742951130451311	-0.0135524928225818	-0.00532521582810556	0.00290206116637065	-0.0183152381726392	0.0164001923328917	0.0511156228384227	-0.107449312628979	-0.0298080821093881	0.047833148410203	-0.0579258325939726	0.00153257423936997	0.0609909810727125	-0.25467162453474	-0.151457256403207	-0.0482428882716749	-0.0241315062096572	0.0133978670227319	0.050927240255121
CX3CL1	0.00828578334508615	0.012976591026587	0.0176673987080879	-0.021120052878271	-0.0129093984403503	-0.00469874400242949	-0.0245674570896796	0.0100778336591236	0.0447231244079267	-0.110657593609625	-0.0331732309998189	0.0443111316099871	-0.0804412676086617	-0.0211029917410016	0.0382352841266584	-0.12114317071155	-0.018137338973378	0.0848684927647946	-0.0168118978717093	0.0206416502572507	0.0580951983862108
CD70	0.00202302927814838	0.00773714733778272	0.0134512653974171	-0.00911123346792974	0.000890593933812804	0.0108924213355553	-0.0744282402851382	-0.0322250004614845	0.00997823936216929	-0.157794044188062	-0.063406291419165	0.0309814613497321	-0.0382239617165351	0.0340590941631877	0.106342150042911	-0.1471458711268	-0.0216690826189366	0.103807705888927	-0.00448437719782356	0.0411397477487354	0.0867638726952944
TNFRSF12A	0.019214893268572	0.0242735805423121	0.0293322678160522	-0.00462896288123777	0.00422561738177094	0.0130801976447797	-0.0387860114068974	-0.00142364157511626	0.0359387282566649	-0.157940559121006	-0.0743794358215164	0.00918168747797318	-0.0123135352104976	0.0516783828894929	0.115670300989483	0.0451806123444335	0.156264742309911	0.267348872275389	-0.0363594153885483	0.00403145120433666	0.0444223177972216
CCL23	0.00732722975598943	0.0129974420621227	0.0186676543682559	-0.0173795422300914	-0.00745456619261513	0.00247040984486113	-0.035967379510953	0.00591158191570104	0.0477905433423551	-0.0840452396590628	0.00961726288515499	0.103279765429373	0.00826815888310815	0.0799958111116217	0.151723463340135	-0.194458873648929	-0.0699462151938297	0.0545664432612696	-0.0514276851710486	-0.00615412378700298	0.0391194375970427
CD5	0.00539356656463753	0.00989336474595258	0.0143931629272676	-0.00312188746931886	0.00475442945001834	0.0126307463693555	-0.0535731499129692	-0.0203386140104623	0.0128959218920445	-0.133082448362513	-0.0587532458827381	0.0155759565970366	-0.00619061945721058	0.0507314042029525	0.107653427863116	-0.0115359895411054	0.087275448870279	0.186086887281664	-0.0390108406393211	-0.00308239948426477	0.0328460416707915
CCL3	-0.00481439723229482	0.00980488283686993	0.0244241629060347	-0.00738709542213083	0.0182020706510107	0.0437912367241523	-0.200042721698739	-0.0920678817725926	0.015906958153554	-0.174549928721182	0.0669363301251898	0.308422588971562	-0.335568116780282	-0.150635599262718	0.0342969182548454	-0.579858999029502	-0.25883302542664	0.0621929481762223	-0.0489333486759059	0.0677936516316436	0.184520651939193
MMP7	0.00929934818576517	0.0126470992610044	0.0159948503362435	-0.00444585670853309	0.00141395019239101	0.00727375709331512	-0.053712699178817	-0.0289869339734591	-0.00426116876810113	-0.0587471495858364	-0.0034478544848691	0.0518514406160982	0.00475091700336314	0.0470996531543277	0.0894483893052923	0.0467930697738912	0.120306611016972	0.193820152260052	-0.0103669851551631	0.0163629864262193	0.0430929580076017
NCR1	0.0113571819340328	0.0175250863015414	0.0236929906690499	-0.00242600439056988	0.00837011747293644	0.0191662393364428	-0.0398250126585497	0.00572979466511672	0.0512846019887832	-0.17297343804068	-0.0710898881267926	0.0307936617870945	-0.0537487433093669	0.0242746666735094	0.102298076656386	-0.063959421934372	0.0714820974360075	0.206923616806387	-0.0316190116336542	0.0176283501787556	0.0668757119911654
DCN	0.0133234078413923	0.0162222541061356	0.0191211003708788	-0.00575836139006555	-0.00068430451872336	0.00438975235261883	-0.0364610231504711	-0.0150507717615295	0.00635947962741208	-0.0913332993106159	-0.0434491671145205	0.00443496508157501	-0.0602193108241518	-0.0235491782937484	0.0131209542366549	-0.0414955471732159	0.0221604564098246	0.085816459992865	-0.00948698077039094	0.0136587300467873	0.0368044408639655
TNFRSF21	0.00386907997301906	0.00674944726856428	0.00962981456410951	-0.0126489668710707	-0.00760725505430246	-0.00256554323753421	-0.0290624982470264	-0.0077887285269302	0.013485041193166	-0.0618484881354962	-0.014269597860881	0.0333092924137342	-0.0366410126191158	-0.000204637310597079	0.0362317379979216	-0.0208105946213387	0.0424396277570249	0.105689850135388	-0.0161209862830454	0.00687718001531543	0.0298753463136763
TNFRSF4	0.0134668920148982	0.018809699458625	0.0241525069023517	-0.00176716097293879	0.00758473503887018	0.0169366310506792	-0.0579560828152725	-0.0184952628731604	0.0209655570689517	-0.13391933031102	-0.0456650130520288	0.0425893042069627	-0.032917490159483	0.0346685213612891	0.102254532882061	-0.0463448295740968	0.070978318575495	0.188301466725087	-0.0873746653280019	-0.0447152537033159	-0.00205584207862985
CCL17	-0.00645330909500843	0.00335379103326184	0.0131608911615321	-0.028316410333513	-0.0111503451995974	0.00601571993431814	-0.121124281657047	-0.0486911617304938	0.0237419581960591	-0.128384941561741	0.0336120862606472	0.195609114083035	-0.011337284427805	0.112721609559268	0.236780503546341	-0.47978480301607	-0.264429884579338	-0.0490749661426059	-0.0386404316901326	0.0396639290084019	0.117968289706936
ANGPT2	0.00985292703738369	0.0157501248260226	0.0216473226146615	-0.000750251063644958	0.00957203381397595	0.0198943186915969	-0.0293782644695079	0.0141771626259859	0.0577325897214797	-0.108424268070644	-0.0110123418391171	0.0863995843924097	0.12952348366973	0.204122480897526	0.278721478125323	0.0160368592916878	0.145533910628677	0.275030961965666	-0.043595485125727	0.00349043188464891	0.0505763488950248
LAMP3	0.0108766279441737	0.0185684759005014	0.0262603238568291	-0.013115077537966	0.000348511218294149	0.0138120999745543	-0.0873073248076	-0.0304969998195383	0.0263133251685234	-0.215403290551555	-0.0883467202005625	0.03870985015043	0.21511868665406	0.31241983966544	0.409720992676819	-0.282157626012021	-0.113251704017028	0.0556542179779641	-0.0658263380471185	-0.00441111551111675	0.0570041070248851
CASP8	-0.0307632311251563	-0.0144685213614853	0.00182618840218565	-0.029692364812874	-0.00117057493789277	0.0273512149370885	-0.207606754892111	-0.0872575536967401	0.0330916474986314	-0.429618480753974	-0.160456902263114	0.108704676227747	-0.228829139082007	-0.0227025935505578	0.183423951980892	-0.520604196609705	-0.162787324526386	0.195029547556933	-0.0421673763504612	0.0879370188452539	0.218041414040969
ICOSLG	-8.30507642764905e-07	0.00336068526717184	0.00672220104198645	-0.0178314699187381	-0.0119475696847828	-0.00606366945082755	-0.0423549795798916	-0.0175275512812585	0.00729987701737463	-0.0743238703372092	-0.018797205229724	0.0367294598777612	-0.0785950607861251	-0.0360722024804913	0.00645065582514256	-0.0599259890144899	0.0138898123988347	0.0877056138121593	-0.0192717389509467	0.00756813627028473	0.0344080114915162
MMP12	0.0305224494230114	0.0386406961346687	0.0467589428463259	-0.0079799802311832	0.00622996460498561	0.0204399094411544	-0.131079239581516	-0.0711196256316455	-0.0111600116817747	-0.183291757027415	-0.0491917864738046	0.0849081840798058	0.1687904191475	0.271485476298918	0.374180533450336	0.0871792142721231	0.265448461610437	0.44371770894875	-0.0198550015279399	0.0449647831622183	0.109784567852377
CXCL13	0.00735403085416779	0.0138393371665316	0.0203246434788954	-0.0142339691045053	-0.00288227603363355	0.00846941703723819	-0.10177826176044	-0.0538791923372821	-0.00598012291412427	-0.0970657847514319	0.0100607188408188	0.11718722243307	-0.0443883971313209	0.0376501175933313	0.119688632317983	-0.233259704345079	-0.0908483295585277	0.0515630452280234	-0.026485739544575	0.0252959041708732	0.0770775478863215
VEGFA	-0.0054277789672502	0.000633339461404931	0.00669445789006006	-0.00678245434542133	0.00382675249144423	0.0144359593283098	-0.0777387317211053	-0.0329726222402541	0.0117934872405971	-0.0693487745926668	0.0307708487291371	0.130890472050941	-0.00380386907252329	0.0728687088300993	0.149541286732722	-0.0932721671873808	0.0398244309676357	0.172921029122652	-0.0398290612874557	0.00856567288129353	0.0569604070500427
CCL20	-0.0076909342955238	0.00715721635667778	0.0220053670088794	-0.0210313415086244	0.00495843303024725	0.0309482075691189	-0.24478058503855	-0.135115356498854	-0.0254501279591582	-0.237974776186732	0.00729204508105002	0.252558866348832	-0.0472922067058238	0.140535502155395	0.328363211016613	-0.162208046959037	0.163843714603345	0.489895476165727	-0.123069939704102	-0.00451553226773809	0.114038875168626
KLRD1	0.00756856990440478	0.0144788980261687	0.0213892261479325	-0.00428817688429807	0.00780746210005167	0.0199031010844014	-0.08996991707035	-0.0389317285101364	0.0121064600500773	-0.13936371910586	-0.0252165601739097	0.0889305987580402	-0.160464860910746	-0.0730498602825227	0.0143651403457007	0.0150151358922574	0.166759599553198	0.318504063214139	-0.0887531713026933	-0.0335779595974506	0.021597252107792
GZMB	-0.0241328575264614	-0.0109769260212556	0.00217900548395015	-0.0251720070482997	-0.00214424408453698	0.0208835188792257	-0.0975788890954127	-0.000412025088880078	0.0967548389176525	-0.253628673625711	-0.0363145059101477	0.180999661805416	-0.0880673459001674	0.078353949952696	0.244775245805559	-0.504524655115409	-0.215632473001782	0.0732597091118442	0.00429283107080682	0.109335788972221	0.214378746873635
CD83	0.00970275488736161	0.014023673804209	0.0183445927210565	0.000987333817896269	0.00855054563329897	0.0161137574487017	-0.0573437679123484	-0.0254303955593201	0.00648297679370826	-0.148215970168553	-0.0768415564442509	-0.005467142719949	0.073401962299651	0.12806118009296	0.182720397886269	-0.0897655504471842	0.00511786348136662	0.100001277409917	-0.0418212813621774	-0.00732109384613349	0.0271790936699104
