Analyte	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	PSA.est	PSA.se	PSA.pval	PSA.pval.adj
MCP1	2.13627527759549	0.0393160981237515	0.0767600010987529	0.0130708010113086	0.00556401649876926	0.0193583923876562	0.0901656889540967	-0.00412822120446831	0.00788194818129912	0.600772021307711	0.86717423674572	-0.0133791854875077	0.0388083921283808	0.730484915337663	0.86717423674572	-0.027256973732452	0.0856771272331539	0.750567317136598	0.86717423674572	-0.0097231482346336	0.0580940902683864	0.86717423674572	0.86717423674572	0.19568026153921	0.0942754954683667	0.0386424381231843	0.0901656889540967	-0.0831376774920892	0.0399232342603594	0.0380119995742016	0.0901656889540967
CRTAM	3.14446669483095	0.00308522045772519	0.00816090572688599	0.0147418934625401	0.00439888045745161	0.000890162614849279	0.00623113830394495	-0.00834275004834167	0.00623142433690342	0.181479074526415	0.423451173894968	-0.0274306830629397	0.0306816986895014	0.371900828517722	0.433884299937342	-0.0388504443921322	0.0677358596474113	0.566627062414236	0.566627062414236	-0.113954601752621	0.0459288642353166	0.0135559012611264	0.0474456544139425	0.0723182364098835	0.0745336816891354	0.332564048058398	0.433884299937342	-0.0356738706683765	0.0315630866703942	0.259131664424705	0.433884299937342
MCP4	1.28879392830357	0.254692733290425	0.348080068830248	0.0101823452648626	0.0052128656410169	0.0515614525516043	0.180465083930615	0.00819970718266226	0.00738451024860517	0.26757503473784	0.624341747721627	0.011074573569861	0.0363591542106131	0.760856702571817	0.955595862713342	0.0112489913230913	0.0802699547841982	0.888628582792178	0.955595862713342	-0.0441567258615737	0.0544277119187537	0.417737485609403	0.731040599816455	-0.196199777832939	0.0883256710733333	0.0269541463209266	0.180465083930615	0.00208413477784876	0.0374036374982229	0.955595862713342	0.955595862713342
TRAIL	0.544380838524091	0.800606796665066	0.820621966581693	-0.00352359412448277	0.00254566043321388	0.167172570666124	0.70216530206846	0.00115711183103124	0.0036061653710433	0.748495808889835	0.871100542889585	-0.00288311783894644	0.0177556965080389	0.871100542889585	0.871100542889585	-0.00770648609584936	0.0391991779458446	0.844253570814965	0.871100542889585	-0.00909003718969691	0.0265793293446379	0.732554212570398	0.871100542889585	0.0553032565638805	0.0431331213141696	0.200618657733846	0.70216530206846	0.0072522497718679	0.0182657614054535	0.691574077922707	0.871100542889585
CXCL9	10.3674132811617	7.39164285334937e-12	1.51528678493662e-10	0.0379736249878515	0.00650318303003527	1.17723175613248e-08	8.24062229292735e-08	-0.0170245458274744	0.00921236514442037	0.0654254772766529	0.152659446978857	-0.0033467153930416	0.0453589735343282	0.941224362511548	0.941224362511548	0.0993088133366862	0.100138818784607	0.322008108250275	0.450811351550385	0.0741858385237216	0.0678999607679587	0.275314871555621	0.450811351550385	0.313614859089146	0.110188530607999	0.0046797689253846	0.0163791912388461	0.0164998327955295	0.0466619931129825	0.7238443745838	0.844485103681101
CAIX	8.57871786121077	9.89853088384507e-10	1.01459941559412e-08	0.016555490987842	0.00475316208656509	0.000557138528046428	0.001299989898775	-0.0276204363952977	0.00673329729915585	5.07307264577674e-05	0.000177557542602186	-0.01844557510932	0.03315277338699	0.578297982784251	0.578297982784251	-0.148415216986645	0.073191241064889	0.0433236612686856	0.0758164072201997	0.0425775803518238	0.0496279310778937	0.391501897738407	0.456752214028141	0.351370605667828	0.0805365531988446	1.68122535236724e-05	0.000117685774665707	-0.0322598666569078	0.0341051475137379	0.344840450519992	0.456752214028141
ADA	1.13071190629861	0.343004730637093	0.439474811128775	0.00374559336958788	0.00394217592754854	0.342685403413239	0.479759564778534	-0.00786360418987983	0.00558445978536825	0.159962546623244	0.448738787021233	-0.0421340899331959	0.0274962357263333	0.126317180995892	0.448738787021233	-0.0144997557036597	0.0607033262023509	0.81134878626205	0.825313179343821	-0.046787203976677	0.0411603963143392	0.256422164012133	0.448738787021233	0.0861805142740776	0.0667953786397496	0.197808153800489	0.448738787021233	-0.00624778663316832	0.0282861154502117	0.825313179343821	0.825313179343821
Gal9	6.88577405975625	1.07796406689786e-07	6.31378953468748e-07	0.00932415741482583	0.00285980452995853	0.00121923313546811	0.0042673159741384	0.0115898807455575	0.00405117977611381	0.0044728704432863	0.0104366977010014	-0.018617535805448	0.0199468164110764	0.351263834500089	0.451249367208975	-0.0219154842369466	0.0440365043183111	0.619024802654467	0.619024802654467	0.0258737113672005	0.0298593188122466	0.386785171893407	0.451249367208975	0.193037442862357	0.0484559111325706	8.21935720528565e-05	0.000575355004369995	-0.0304737066971226	0.0205198252402066	0.138401012286918	0.242201771502107
VEGFR2	2.96082172518303	0.0049805540838016	0.0127626698397416	-0.00706960847840317	0.00176808223050715	7.74625631847691e-05	0.000542237942293384	-0.00398730902654894	0.00250465334245786	0.112276152223945	0.279689667630604	0.0058551354854357	0.0123321756022688	0.635229522031126	0.741101109036313	-0.00805783362416802	0.0272256932119714	0.767428935165735	0.767428935165735	0.0287810960750541	0.0184606082177744	0.119867000413116	0.279689667630604	0.0222825364998796	0.0299580039611217	0.4574899393918	0.741101109036313	0.0071931650752144	0.0126864399298114	0.571071992615713	0.741101109036313
CD40	1.92881907185821	0.0641261897991436	0.114311903554995	0.0100424993481147	0.00367187325942147	0.00654881389018887	0.0458416972313221	0.00555540348433768	0.00520155085188185	0.286227397204017	0.667863926809373	-0.0131615243034887	0.0256109048793914	0.607636760132943	0.925566745758038	0.00918471834729607	0.0565410890677725	0.871048461854542	0.925566745758038	0.00358422686674308	0.0383381567315786	0.925566745758038	0.925566745758038	0.0671058450596738	0.0622154285318127	0.281490236201655	0.667863926809373	0.00624668252954573	0.0263466250221686	0.812717838634156	0.925566745758038
